,song_name,genre,pred_genre,predicted,genre_num
72,KILL THEM ALL,Underground Rap,Dark Trap,0,7
73,Destiny,Underground Rap,Trap Metal,6,7
74,Trife,Underground Rap,Dark Trap,0,7
75,My Time,Underground Rap,Hiphop,2,7
76,Country Life,Underground Rap,Dark Trap,0,7
77,OMG,Underground Rap,Hiphop,2,7
78,Jet Lagged,Underground Rap,Trap Metal,6,7
79,Smoke Alone,Underground Rap,Rap,4,7
80,Drum and Bass 2020,dnb,dnb,8,8
81,Liqduicity Drum & Bass,dnb,dnb,8,8
82,Drum and Bass - 2015 to 2020,dnb,dnb,8,8
83,Liqduicity Drum & Bass,dnb,dnb,8,8
84,Liqduicity Drum & Bass,dnb,dnb,8,8
85,Liqduicity Drum & Bass,dnb,dnb,8,8
86,Liquid Drum and Bass,dnb,dnb,8,8
87,UKF Drum & Bass,dnb,dnb,8,8
88,UKF Drum & Bass - All Uploads,dnb,dnb,8,8
89,Liquid Drum and Bass Sessions 2020,dnb,dnb,8,8
90,Euphoric Hardstyle,hardstyle,hardstyle,9,9
91,Best Hardstyle ever made,hardstyle,hardstyle,9,9
92,Hardstyle 2020 | Updated Weekly,hardstyle,hardstyle,9,9
93,Euphoric Hardstyle,hardstyle,hardstyle,9,9
94,Euphoric Hardstyle,hardstyle,hardstyle,9,9
95,Euphoric Hardstyle,hardstyle,hardstyle,9,9
96,Best of Hardstyle 2020,hardstyle,hardstyle,9,9
97,Euphoric Hardstyle & Melodic Hardstyle,hardstyle,hardstyle,9,9
98,Euphoric Hardstyle,hardstyle,hardstyle,9,9
99,Euphoric Hardstyle & Melodic Hardstyle,hardstyle,hardstyle,9,9
100,Psy Trance Full-on Morning,psytrance,psytrance,10,10
101,Psytrance New Releases 2020,psytrance,psytrance,10,10
102,Psytrance: From Full on to Forrest Trance,psytrance,psytrance,10,10
103,Psytrance Can,psytrance,psytrance,10,10
104,Psytrance Can,psytrance,psytrance,10,10
105,PsyTrance 2019 By GMR,psytrance,psytrance,10,10
106,Psytrance: From Full on to Forrest Trance,psytrance,psytrance,10,10
107,Psytrance Supernova,psytrance,psytrance,10,10
108,Psytrance New Releases 2020,psytrance,psytrance,10,10
109,PsyTrance 2020 By GMR,psytrance,psytrance,10,10
110,Dirtybird Players,techhouse,techhouse,11,11
111,Tech House Movement,techhouse,techhouse,11,11
112,tech house,techhouse,techhouse,11,11
113,Tech House Bangerz,techhouse,techhouse,11,11
114,tech house,techhouse,techhouse,11,11
115,blanc | Tech House,techhouse,techhouse,11,11
116,Toolroom Tech House,techhouse,techhouse,11,11
117,Tech house,techhouse,techhouse,11,11
118,Dirtybird//Techhouse by Mack\,techhouse,techhouse,11,11
119,Dirtybird//Techhouse by Mack\,techhouse,techhouse,11,11
120,Techno,techno,techno,12,12
121,techno. only. (08/02),techno,techno,12,12
122,DARK UNDERGROUND TECHNO,techno,techno,12,12
123,techno. only. (08/02),techno,techno,12,12
124,DARK UNDERGROUND TECHNO,techno,techno,12,12
125,True Techno,techno,techno,12,12
126,Dark Techno Rave,techno,techno,12,12
127,Dark Techno,techno,techno,12,12
128,Dark Techno Rave,techno,techhouse,11,12
129,Dark Techno Rave,techno,techno,12,12
130,Uplifting | Trance,trance,trance,13,13
131,Top Trance Songs EVER,trance,trance,13,13
132,Uplifting | Trance,trance,trance,13,13
133,Top Trance Songs EVER,trance,trance,13,13
134,Anjunabeats Volumes 1 - 14,trance,techno,12,13
135,Progressive Trance,trance,trance,13,13
136,Top Trance Songs EVER,trance,trance,13,13
137,Anjunabeats Volumes 1 - 14,trance,trance,13,13
138,Top Trance Songs EVER,trance,trance,13,13
139,Progressive Trance,trance,trance,13,13
140,Headbangers:Dubstep/Riddim,trap,trap,14,14
141,HEADBANGERS:Dubstep/Riddim,trap,trap,14,14
142,HEADBANGERS:Dubstep/Riddim,trap,Emo,1,14
143,Riddim Dubstep 2017-2018-2019,trap,trap,14,14
144,Headbangers:Dubstep/Riddim,trap,trap,14,14
145,Riddim Dubstep 2017-2018-2019,trap,hardstyle,9,14
146,Riddim or die,trap,trap,14,14
147,Headbangers:Dubstep/Riddim,trap,trap,14,14
148,Riddim or die,trap,trap,14,14
149,Headbangers:Dubstep/Riddim,trap,trap,14,14
